Datetime,Key,Number,Action,Time,Mistakes
2024-02-22 22:59:35.837,N/A,N/A,start,N/A,N/A
2024-02-22 22:59:37.021,m,22,pressed,71,1
2024-02-22 22:59:37.171,m,22,released,80,1
2024-02-22 22:59:37.438,n,1,pressed,96,1
2024-02-22 22:59:37.604,n,1,released,106,1
2024-02-22 22:59:37.738,p,2,pressed,114,1
2024-02-22 22:59:37.955,p,2,released,127,1
2024-02-22 22:59:38.122,c,6,pressed,137,2
2024-02-22 22:59:38.172,c,6,released,140,2
2024-02-22 22:59:38.339,g,3,pressed,150,2
2024-02-22 22:59:38.522,g,3,released,161,2
2024-02-22 22:59:38.639,y,4,pressed,168,2
2024-02-22 22:59:38.805,l,5,pressed,178,2
2024-02-22 22:59:38.822,y,4,released,179,2
2024-02-22 22:59:38.989,l,5,released,189,2
2024-02-22 22:59:39.072,c,6,pressed,194,2
2024-02-22 22:59:39.239,c,6,released,204,2
2024-02-22 22:59:39.307,f,7,pressed,208,2
2024-02-22 22:59:39.439,h,8,pressed,216,2
2024-02-22 22:59:39.490,f,7,released,219,2
2024-02-22 22:59:39.606,h,8,released,226,2
2024-02-22 22:59:39.740,o,9,pressed,234,2
2024-02-22 22:59:39.923,o,9,released,245,2
2024-02-22 22:59:39.957,u,10,pressed,247,2
2024-02-22 22:59:40.123,u,10,released,257,2
2024-02-22 22:59:41.591,r,11,pressed,345,2
2024-02-22 22:59:41.708,r,11,released,352,2
2024-02-22 22:59:41.975,q,13,pressed,368,3
2024-02-22 22:59:42.075,q,13,released,374,3
2024-02-22 22:59:42.342,a,12,pressed,390,3
2024-02-22 22:59:42.459,a,12,released,397,3
2024-02-22 22:59:42.575,q,13,pressed,404,3
2024-02-22 22:59:42.709,q,13,released,412,3
2024-02-22 22:59:43.393,e,14,pressed,453,3
2024-02-22 22:59:43.460,l,5,pressed,457,4
2024-02-22 22:59:43.509,e,14,released,460,4
2024-02-22 22:59:43.626,l,5,released,467,4
2024-02-22 22:59:43.811,y,4,pressed,478,5
2024-02-22 22:59:43.826,t,16,pressed,479,6
2024-02-22 22:59:43.977,y,4,released,488,6
2024-02-22 22:59:43.993,t,16,released,489,6
2024-02-22 22:59:44.494,l,5,pressed,519,7
2024-02-22 22:59:44.694,l,5,released,531,7
2024-02-22 22:59:44.927,k,15,pressed,545,7
2024-02-22 22:59:45.094,k,15,released,555,7
2024-02-22 22:59:45.244,t,16,pressed,564,7
2024-02-22 22:59:45.378,t,16,released,572,7
2024-02-22 22:59:45.461,x,17,pressed,577,7
2024-02-22 22:59:45.611,x,17,released,586,7
2024-02-22 22:59:45.678,d,18,pressed,590,7
2024-02-22 22:59:45.861,d,18,released,601,7
2024-02-22 22:59:46.262,z,19,pressed,625,7
2024-02-22 22:59:46.445,z,19,released,636,7
2024-02-22 22:59:46.462,v,20,pressed,637,7
2024-02-22 22:59:46.579,b,24,pressed,644,8
2024-02-22 22:59:46.646,v,20,released,648,8
2024-02-22 22:59:46.679,b,24,released,650,8
2024-02-22 22:59:46.779,s,21,pressed,656,8
2024-02-22 22:59:46.946,s,21,released,666,8
2024-02-22 22:59:47.113,m,22,pressed,676,8
2024-02-22 22:59:47.279,m,22,released,686,8
2024-02-22 22:59:47.463,i,23,pressed,697,8
2024-02-22 22:59:47.630,i,23,released,707,8
2024-02-22 22:59:47.746,b,24,pressed,714,8
2024-02-22 22:59:47.915,b,24,released,724,8
2024-02-22 22:59:48.046,j,25,pressed,732,8
2024-02-22 22:59:48.047,k,15,pressed,732,9
2024-02-22 22:59:48.130,w,26,pressed,737,9
2024-02-22 22:59:48.131,N/A,N/A,end,N/A,N/A
2024-02-22 22:59:53.218,N/A,N/A,start,N/A,N/A
2024-02-22 22:59:54.202,a,1,pressed,59,0
2024-02-22 22:59:54.302,i,8,pressed,65,1
2024-02-22 22:59:54.335,a,1,released,67,1
2024-02-22 22:59:54.452,i,8,released,74,1
2024-02-22 22:59:54.585,m,18,pressed,82,2
2024-02-22 22:59:54.752,m,18,released,92,2
2024-02-22 22:59:55.086,u,2,pressed,112,2
2024-02-22 22:59:55.203,u,2,released,119,2
2024-02-22 22:59:55.303,n,3,pressed,125,2
2024-02-22 22:59:55.470,n,3,released,135,2
2024-02-22 22:59:55.486,f,4,pressed,136,2
2024-02-22 22:59:55.603,f,4,released,143,2
2024-02-22 22:59:55.720,t,6,pressed,150,3
2024-02-22 22:59:55.870,t,6,released,159,3
2024-02-22 22:59:56.137,w,5,pressed,175,3
2024-02-22 22:59:56.270,w,5,released,183,3
2024-02-22 22:59:56.353,t,6,pressed,188,3
2024-02-22 22:59:56.520,t,6,released,198,3
2024-02-22 22:59:56.637,s,7,pressed,205,3
2024-02-22 22:59:56.821,s,7,released,216,3
2024-02-22 22:59:56.971,o,21,pressed,225,4
2024-02-22 22:59:57.088,o,21,released,232,4
2024-02-22 22:59:57.154,l,13,pressed,236,5
2024-02-22 22:59:57.321,l,13,released,246,5
2024-02-22 22:59:57.671,g,10,pressed,267,6
2024-02-22 22:59:57.855,g,10,released,278,6
2024-02-22 22:59:58.722,p,15,pressed,330,7
2024-02-22 22:59:58.839,p,15,released,337,7
2024-02-22 22:59:59.590,o,21,pressed,382,8
2024-02-22 22:59:59.757,o,21,released,392,8
2024-02-22 23:00:00.107,i,8,pressed,413,8
2024-02-22 23:00:00.257,i,8,released,422,8
2024-02-22 23:00:00.290,k,9,pressed,424,8
2024-02-22 23:00:00.457,k,9,released,434,8
2024-02-22 23:00:00.657,g,10,pressed,446,8
2024-02-22 23:00:00.807,g,10,released,455,8
2024-02-22 23:00:01.508,q,11,pressed,497,8
2024-02-22 23:00:01.575,n,3,pressed,501,9
2024-02-22 23:00:01.642,q,11,released,505,9
2024-02-22 23:00:01.758,n,3,released,512,9
2024-02-22 23:00:02.125,b,12,pressed,534,9
2024-02-22 23:00:02.275,b,12,released,543,9
2024-02-22 23:00:02.775,j,23,pressed,573,10
2024-02-22 23:00:02.925,j,23,released,582,10
2024-02-22 23:00:03.293,l,13,pressed,604,10
2024-02-22 23:00:03.459,h,14,pressed,614,10
2024-02-22 23:00:03.493,l,13,released,616,10
2024-02-22 23:00:03.660,h,14,released,626,10
2024-02-22 23:00:04.544,p,15,pressed,679,10
2024-02-22 23:00:04.710,p,15,released,689,10
2024-02-22 23:00:05.595,v,16,pressed,742,10
2024-02-22 23:00:05.761,v,16,released,752,10
2024-02-22 23:00:05.861,w,5,pressed,758,11
2024-02-22 23:00:06.062,w,5,released,770,11
2024-02-22 23:00:06.162,m,18,pressed,776,12
2024-02-22 23:00:06.346,m,18,released,787,12
2024-02-22 23:00:06.662,e,17,pressed,806,12
2024-02-22 23:00:06.762,m,18,pressed,812,12
2024-02-22 23:00:06.846,e,17,released,817,12
2024-02-22 23:00:06.979,m,18,released,825,12
2024-02-22 23:00:07.046,x,19,pressed,829,12
2024-02-22 23:00:07.229,x,19,released,840,12
2024-02-22 23:00:07.429,d,20,pressed,852,12
2024-02-22 23:00:07.580,o,21,pressed,861,12
2024-02-22 23:00:07.613,d,20,released,863,12
2024-02-22 23:00:07.780,o,21,released,873,12
2024-02-22 23:00:07.797,z,22,pressed,874,12
2024-02-22 23:00:07.914,j,23,pressed,881,12
2024-02-22 23:00:07.980,z,22,released,885,12
2024-02-22 23:00:08.147,j,23,released,895,12
2024-02-22 23:00:08.247,v,16,pressed,901,13
