Datetime,Key,Number,Action,Time,Mistakes
2023-12-25 13:16:47.264,N/A,N/A,start,N/A,N/A
2023-12-25 13:16:48.347,i,17,pressed,65,0
2023-12-25 13:16:48.464,i,17,released,72,1
2023-12-25 13:16:48.780,u,1,pressed,91,1
2023-12-25 13:16:48.930,u,1,released,100,1
2023-12-25 13:16:48.947,o,2,pressed,101,1
2023-12-25 13:16:49.147,o,2,released,113,1
2023-12-25 13:16:49.630,r,3,pressed,142,1
2023-12-25 13:16:49.763,r,3,released,150,1
2023-12-25 13:16:50.047,v,4,pressed,167,1
2023-12-25 13:16:50.247,v,4,released,179,1
2023-12-25 13:16:50.397,y,5,pressed,188,1
2023-12-25 13:16:50.613,y,5,released,201,1
2023-12-25 13:16:50.746,l,9,pressed,209,1
2023-12-25 13:16:50.964,l,9,released,222,2
2023-12-25 13:16:51.096,d,8,pressed,230,2
2023-12-25 13:16:51.163,d,8,released,234,3
2023-12-25 13:16:52.896,q,6,pressed,338,3
2023-12-25 13:16:53.113,q,6,released,351,3
2023-12-25 13:16:53.246,f,7,pressed,359,3
2023-12-25 13:16:53.430,f,7,released,370,3
2023-12-25 13:16:53.563,d,8,pressed,378,3
2023-12-25 13:16:53.763,d,8,released,390,3
2023-12-25 13:16:53.913,l,9,pressed,399,3
2023-12-25 13:16:54.080,l,9,released,409,3
2023-12-25 13:16:54.213,x,10,pressed,417,3
2023-12-25 13:16:54.363,x,10,released,426,3
2023-12-25 13:16:54.770,e,11,pressed,450,3
2023-12-25 13:16:54.948,e,11,released,461,3
2023-12-25 13:16:55.146,w,12,pressed,473,3
2023-12-25 13:16:55.362,w,12,released,486,3
2023-12-25 13:16:56.062,b,13,pressed,528,3
2023-12-25 13:16:56.246,b,13,released,539,3
2023-12-25 13:16:56.529,t,14,pressed,556,3
2023-12-25 13:16:56.696,t,14,released,566,3
2023-12-25 13:16:57.079,c,15,pressed,589,3
2023-12-25 13:16:57.262,c,15,released,600,3
2023-12-25 13:16:57.962,k,16,pressed,642,3
2023-12-25 13:16:58.079,k,16,released,649,3
2023-12-25 13:16:58.445,i,17,pressed,671,3
2023-12-25 13:16:58.646,i,17,released,683,3
2023-12-25 13:16:59.079,g,18,pressed,709,3
2023-12-25 13:16:59.262,g,18,released,720,3
2023-12-25 13:16:59.779,z,19,pressed,751,3
2023-12-25 13:16:59.962,z,19,released,762,3
2023-12-25 13:17:00.579,h,20,pressed,799,3
2023-12-25 13:17:00.779,h,20,released,811,3
2023-12-25 13:17:01.162,s,21,pressed,834,3
2023-12-25 13:17:01.279,s,21,released,841,3
2023-12-25 13:17:01.445,m,22,pressed,851,3
2023-12-25 13:17:01.613,m,22,released,861,3
2023-12-25 13:17:01.679,a,23,pressed,865,3
2023-12-25 13:17:01.845,a,23,released,875,3
2023-12-25 13:17:01.979,o,2,pressed,883,3
2023-12-25 13:17:02.062,o,2,released,888,4
2023-12-25 13:17:02.612,p,24,pressed,921,4
2023-12-25 13:17:02.811,p,24,released,933,4
2023-12-25 13:17:02.945,h,20,pressed,941,4
2023-12-25 13:17:03.128,h,20,released,952,5
2023-12-25 13:17:03.412,j,25,pressed,969,5
2023-12-25 13:17:03.545,j,25,released,977,5
2023-12-25 13:17:03.595,N/A,N/A,end,N/A,N/A
2023-12-25 13:17:08.277,N/A,N/A,start,N/A,N/A
2023-12-25 13:17:09.211,q,1,pressed,56,0
2023-12-25 13:17:09.311,q,1,released,62,0
2023-12-25 13:17:09.827,t,2,pressed,93,0
2023-12-25 13:17:09.961,t,2,released,101,0
2023-12-25 13:17:10.477,e,3,pressed,132,0
2023-12-25 13:17:10.611,e,3,released,140,0
2023-12-25 13:17:10.811,y,12,pressed,152,0
2023-12-25 13:17:11.011,y,12,released,164,1
2023-12-25 13:17:11.327,u,4,pressed,183,1
2023-12-25 13:17:11.544,u,4,released,196,1
2023-12-25 13:17:11.677,k,5,pressed,204,1
2023-12-25 13:17:11.861,k,5,released,215,1
2023-12-25 13:17:11.961,w,6,pressed,221,1
2023-12-25 13:17:12.177,w,6,released,234,1
2023-12-25 13:17:12.494,r,7,pressed,253,1
2023-12-25 13:17:12.644,r,7,released,262,1
2023-12-25 13:17:13.493,x,8,pressed,313,1
2023-12-25 13:17:13.677,x,8,released,324,1
2023-12-25 13:17:13.927,p,9,pressed,339,1
2023-12-25 13:17:14.110,p,9,released,350,1
2023-12-25 13:17:14.510,i,10,pressed,374,1
2023-12-25 13:17:14.643,i,10,released,382,1
2023-12-25 13:17:15.477,s,24,pressed,432,1
2023-12-25 13:17:15.627,s,24,released,441,2
2023-12-25 13:17:15.860,d,11,pressed,455,2
2023-12-25 13:17:16.043,d,11,released,466,2
2023-12-25 13:17:16.243,y,12,pressed,478,2
2023-12-25 13:17:16.410,y,12,released,488,2
2023-12-25 13:17:16.577,j,13,pressed,498,2
2023-12-25 13:17:16.760,j,13,released,509,2
2023-12-25 13:17:17.743,x,8,pressed,568,2
2023-12-25 13:17:17.943,x,8,released,580,3
2023-12-25 13:17:18.526,c,14,pressed,615,3
2023-12-25 13:17:18.710,c,14,released,626,3
2023-12-25 13:17:18.859,g,15,pressed,635,3
2023-12-25 13:17:19.026,g,15,released,645,3
2023-12-25 13:17:20.342,l,16,pressed,724,3
2023-12-25 13:17:20.543,l,16,released,736,3
2023-12-25 13:17:20.842,m,17,pressed,754,3
2023-12-25 13:17:21.009,m,17,released,764,3
2023-12-25 13:17:21.560,z,18,pressed,797,3
2023-12-25 13:17:21.743,z,18,released,808,3
2023-12-25 13:17:22.343,o,19,pressed,844,3
2023-12-25 13:17:22.543,o,19,released,856,3
2023-12-25 13:17:22.760,a,20,pressed,869,3
2023-12-25 13:17:22.959,a,20,released,881,3
2023-12-25 13:17:23.426,v,26,pressed,909,3
2023-12-25 13:17:23.626,v,26,released,921,4
2023-12-25 13:17:23.793,b,21,pressed,931,4
2023-12-25 13:17:23.959,b,21,released,941,4
2023-12-25 13:17:24.109,f,22,pressed,950,4
2023-12-25 13:17:24.326,f,22,released,963,4
2023-12-25 13:17:24.476,n,23,pressed,972,4
2023-12-25 13:17:24.676,n,23,released,984,4
2023-12-25 13:17:24.943,s,24,pressed,1000,4
2023-12-25 13:17:25.142,s,24,released,1012,4
2023-12-25 13:17:25.376,g,15,pressed,1026,4
2023-12-25 13:17:25.559,g,15,released,1037,5
2023-12-25 13:17:25.826,h,25,pressed,1053,5
2023-12-25 13:17:25.976,h,25,released,1062,5
2023-12-25 13:17:26.126,N/A,N/A,end,N/A,N/A
2023-12-25 13:17:30.659,N/A,N/A,start,N/A,N/A
2023-12-25 13:17:31.291,w,1,pressed,38,0
2023-12-25 13:17:31.492,w,1,released,50,0
2023-12-25 13:17:31.792,g,2,pressed,68,0
2023-12-25 13:17:31.975,g,2,released,79,0
2023-12-25 13:17:32.125,m,3,pressed,88,0
2023-12-25 13:17:32.325,m,3,released,100,0
2023-12-25 13:17:32.409,s,4,pressed,105,0
2023-12-25 13:17:32.559,s,4,released,114,0
2023-12-25 13:17:32.691,r,5,pressed,122,0
2023-12-25 13:17:32.858,r,5,released,132,0
2023-12-25 13:17:33.058,c,6,pressed,144,0
2023-12-25 13:17:33.292,c,6,released,158,0
2023-12-25 13:17:33.358,k,7,pressed,162,0
2023-12-25 13:17:33.558,k,7,released,174,0
2023-12-25 13:17:33.741,d,8,pressed,185,0
2023-12-25 13:17:33.924,d,8,released,196,0
2023-12-25 13:17:34.058,u,9,pressed,204,0
2023-12-25 13:17:34.258,u,9,released,216,0
2023-12-25 13:17:34.508,h,10,pressed,231,0
2023-12-25 13:17:34.724,h,10,released,244,0
2023-12-25 13:17:34.925,b,11,pressed,256,0
2023-12-25 13:17:35.124,b,11,released,268,0
2023-12-25 13:17:36.657,i,12,pressed,360,0
2023-12-25 13:17:36.858,i,12,released,372,0
2023-12-25 13:17:37.007,a,13,pressed,381,0
2023-12-25 13:17:37.241,a,13,released,395,0
2023-12-25 13:17:37.324,o,14,pressed,400,0
2023-12-25 13:17:37.507,o,14,released,411,0
2023-12-25 13:17:37.674,p,15,pressed,421,0
2023-12-25 13:17:37.891,p,15,released,434,0
2023-12-25 13:17:38.041,j,16,pressed,443,0
2023-12-25 13:17:38.258,j,16,released,456,0
2023-12-25 13:17:38.807,q,17,pressed,489,0
2023-12-25 13:17:39.007,q,17,released,501,0
2023-12-25 13:17:39.258,f,18,pressed,516,0
2023-12-25 13:17:39.441,f,18,released,527,0
2023-12-25 13:17:39.724,l,19,pressed,544,0
2023-12-25 13:17:39.908,l,19,released,555,0
2023-12-25 13:17:40.640,e,20,pressed,599,0
2023-12-25 13:17:40.840,e,20,released,611,0
2023-12-25 13:17:41.024,y,21,pressed,622,0
2023-12-25 13:17:41.224,y,21,released,634,0
2023-12-25 13:17:41.324,t,22,pressed,640,0
2023-12-25 13:17:41.507,t,22,released,651,0
2023-12-25 13:17:41.890,n,23,pressed,674,0
2023-12-25 13:17:42.107,n,23,released,687,0
2023-12-25 13:17:42.323,z,24,pressed,700,0
