Datetime,Key,Number,Action,Time,Mistakes
2024-01-03 10:52:10.046,N/A,N/A,start,N/A,N/A
2024-01-03 10:52:10.895,b,1,pressed,51,0
2024-01-03 10:52:11.079,b,1,released,62,0
2024-01-03 10:52:11.546,s,2,pressed,90,0
2024-01-03 10:52:11.663,s,2,released,97,0
2024-01-03 10:52:11.897,h,12,pressed,111,0
2024-01-03 10:52:12.047,h,12,released,120,1
2024-01-03 10:52:12.414,g,3,pressed,142,1
2024-01-03 10:52:12.563,g,3,released,151,1
2024-01-03 10:52:12.597,y,5,pressed,153,1
2024-01-03 10:52:12.747,y,5,released,162,2
2024-01-03 10:52:12.947,u,19,pressed,174,2
2024-01-03 10:52:13.030,u,19,released,179,3
2024-01-03 10:52:13.580,t,4,pressed,212,3
2024-01-03 10:52:13.746,t,4,released,222,3
2024-01-03 10:52:13.813,u,19,pressed,226,3
2024-01-03 10:52:13.963,u,19,released,235,4
2024-01-03 10:52:14.479,y,5,pressed,266,4
2024-01-03 10:52:14.596,w,6,pressed,273,4
2024-01-03 10:52:14.613,y,5,released,274,4
2024-01-03 10:52:14.730,w,6,released,281,4
2024-01-03 10:52:14.897,d,7,pressed,291,4
2024-01-03 10:52:15.113,d,7,released,304,4
2024-01-03 10:52:15.646,q,8,pressed,336,4
2024-01-03 10:52:15.846,q,8,released,348,4
2024-01-03 10:52:15.929,c,9,pressed,353,4
2024-01-03 10:52:16.113,c,9,released,364,4
2024-01-03 10:52:16.679,l,10,pressed,398,4
2024-01-03 10:52:16.813,l,10,released,406,4
2024-01-03 10:52:16.913,a,11,pressed,412,4
2024-01-03 10:52:17.080,a,11,released,422,4
2024-01-03 10:52:17.546,h,12,pressed,450,4
2024-01-03 10:52:17.713,h,12,released,460,4
2024-01-03 10:52:17.796,i,13,pressed,465,4
2024-01-03 10:52:17.980,i,13,released,476,4
2024-01-03 10:52:18.113,r,14,pressed,484,4
2024-01-03 10:52:18.312,r,14,released,496,4
2024-01-03 10:52:18.779,z,15,pressed,524,4
2024-01-03 10:52:18.946,z,15,released,534,4
2024-01-03 10:52:19.096,v,16,pressed,543,4
2024-01-03 10:52:19.263,v,16,released,553,4
2024-01-03 10:52:19.413,e,17,pressed,562,4
2024-01-03 10:52:19.613,e,17,released,574,4
2024-01-03 10:52:20.046,n,18,pressed,600,4
2024-01-03 10:52:20.179,n,18,released,608,4
2024-01-03 10:52:20.329,u,19,pressed,617,4
2024-01-03 10:52:20.496,u,19,released,627,4
2024-01-03 10:52:20.696,o,20,pressed,639,4
2024-01-03 10:52:20.846,o,20,released,648,4
2024-01-03 10:52:21.329,x,21,pressed,677,4
2024-01-03 10:52:21.529,x,21,released,689,4
2024-01-03 10:52:21.696,j,22,pressed,699,4
2024-01-03 10:52:21.878,j,22,released,709,4
2024-01-03 10:52:22.079,p,23,pressed,721,4
2024-01-03 10:52:22.246,p,23,released,731,4
2024-01-03 10:52:22.279,m,24,pressed,733,4
2024-01-03 10:52:22.462,m,24,released,744,4
2024-01-03 10:52:22.479,g,3,pressed,745,4
2024-01-03 10:52:22.596,g,3,released,752,5
2024-01-03 10:52:22.879,f,25,pressed,769,5
2024-01-03 10:52:22.995,j,22,pressed,776,5
2024-01-03 10:52:23.046,f,25,released,779,6
2024-01-03 10:52:23.129,j,22,released,784,6
2024-01-03 10:52:23.513,N/A,N/A,end,N/A,N/A
2024-01-03 10:52:30.629,N/A,N/A,start,N/A,N/A
2024-01-03 10:52:31.911,k,1,pressed,77,0
2024-01-03 10:52:32.044,k,1,released,85,0
2024-01-03 10:52:32.110,q,2,pressed,89,0
2024-01-03 10:52:32.277,q,2,released,99,0
2024-01-03 10:52:32.527,t,3,pressed,114,0
2024-01-03 10:52:32.728,t,3,released,126,0
2024-01-03 10:52:32.928,b,12,pressed,138,0
2024-01-03 10:52:33.061,b,12,released,146,1
2024-01-03 10:52:33.346,n,4,pressed,163,1
2024-01-03 10:52:33.511,n,4,released,173,1
2024-01-03 10:52:33.577,i,5,pressed,177,1
2024-01-03 10:52:33.777,i,5,released,189,1
2024-01-03 10:52:33.827,c,25,pressed,192,1
2024-01-03 10:52:34.027,c,25,released,204,2
2024-01-03 10:52:34.094,u,7,pressed,208,2
2024-01-03 10:52:34.228,u,7,released,216,3
