Datetime,Key,Number,Action,Time,Mistakes
2024-01-23 21:51:56.030,N/A,N/A,start,N/A,N/A
2024-01-23 21:51:56.862,t,1,pressed,50,0
2024-01-23 21:51:57.012,t,1,released,59,0
2024-01-23 21:51:57.246,c,2,pressed,73,0
2024-01-23 21:51:57.396,c,2,released,82,0
2024-01-23 21:51:57.479,m,3,pressed,87,0
2024-01-23 21:51:57.662,v,4,pressed,98,0
2024-01-23 21:51:57.678,m,3,released,99,0
2024-01-23 21:51:57.812,v,4,released,107,0
2024-01-23 21:51:57.979,o,5,pressed,117,0
2024-01-23 21:51:58.162,o,5,released,128,0
2024-01-23 21:51:58.246,k,6,pressed,133,0
2024-01-23 21:51:58.395,e,7,pressed,142,0
2024-01-23 21:51:58.429,k,6,released,144,0
2024-01-23 21:51:58.512,w,8,pressed,149,0
2024-01-23 21:51:58.612,e,7,released,155,0
2024-01-23 21:51:58.696,w,8,released,160,0
2024-01-23 21:51:59.312,d,9,pressed,197,0
2024-01-23 21:51:59.445,l,10,pressed,205,0
2024-01-23 21:51:59.496,d,9,released,208,0
2024-01-23 21:51:59.645,s,11,pressed,217,0
2024-01-23 21:51:59.695,l,10,released,220,0
2024-01-23 21:51:59.795,s,11,released,226,0
2024-01-23 21:52:00.004,z,12,pressed,238,0
2024-01-23 21:52:00.162,z,12,released,247,0
2024-01-23 21:52:00.395,x,13,pressed,261,0
2024-01-23 21:52:00.545,x,13,released,270,0
2024-01-23 21:52:00.561,u,14,pressed,271,0
2024-01-23 21:52:00.778,u,14,released,284,0
2024-01-23 21:52:00.953,h,15,pressed,294,0
2024-01-23 21:52:01.195,h,15,released,308,0
2024-01-23 21:52:01.228,r,16,pressed,310,0
2024-01-23 21:52:01.378,r,16,released,319,0
2024-01-23 21:52:01.661,b,17,pressed,336,0
2024-01-23 21:52:01.811,f,18,pressed,345,0
2024-01-23 21:52:01.878,b,17,released,349,0
2024-01-23 21:52:01.994,f,18,released,356,0
2024-01-23 21:52:02.228,t,1,pressed,370,1
2024-01-23 21:52:02.428,t,1,released,382,1
2024-01-23 21:52:02.995,y,19,pressed,416,1
2024-01-23 21:52:03.128,a,20,pressed,424,1
2024-01-23 21:52:03.228,y,19,released,430,1
2024-01-23 21:52:03.294,a,20,released,434,1
2024-01-23 21:52:03.578,g,21,pressed,451,1
2024-01-23 21:52:03.761,g,21,released,462,1
2024-01-23 21:52:04.194,i,22,pressed,488,1
2024-01-23 21:52:04.327,q,23,pressed,496,1
2024-01-23 21:52:04.377,i,22,released,499,1
2024-01-23 21:52:04.511,p,24,pressed,507,1
2024-01-23 21:52:04.678,p,24,released,517,1
2024-01-23 21:52:04.944,j,25,pressed,533,1
2024-01-23 21:52:05.061,N/A,N/A,end,N/A,N/A
2024-01-23 21:52:10.360,N/A,N/A,start,N/A,N/A
2024-01-23 21:52:11.694,m,1,pressed,80,0
2024-01-23 21:52:11.793,s,2,pressed,86,0
2024-01-23 21:52:11.860,m,1,released,90,0
2024-01-23 21:52:11.960,s,2,released,96,0
2024-01-23 21:52:12.011,u,3,pressed,99,0
2024-01-23 21:52:12.176,u,3,released,109,0
2024-01-23 21:52:12.193,a,4,pressed,110,0
2024-01-23 21:52:12.276,n,5,pressed,115,0
2024-01-23 21:52:12.343,a,4,released,119,0
2024-01-23 21:52:12.477,n,5,released,127,0
2024-01-23 21:52:12.559,k,6,pressed,132,0
2024-01-23 21:52:12.726,f,7,pressed,142,0
2024-01-23 21:52:12.760,k,6,released,144,0
2024-01-23 21:52:12.876,f,7,released,151,0
2024-01-23 21:52:13.060,r,8,pressed,162,0
2024-01-23 21:52:13.227,o,9,pressed,172,0
2024-01-23 21:52:13.243,r,8,released,173,0
2024-01-23 21:52:13.460,o,9,released,186,0
2024-01-23 21:52:13.676,g,10,pressed,199,0
2024-01-23 21:52:13.926,g,10,released,214,0
2024-01-23 21:52:14.276,d,11,pressed,235,0
2024-01-23 21:52:14.460,d,11,released,246,0
2024-01-23 21:52:14.626,q,12,pressed,256,0
2024-01-23 21:52:14.793,q,12,released,266,0
2024-01-23 21:52:15.277,l,13,pressed,295,0
2024-01-23 21:52:15.460,l,13,released,306,0
2024-01-23 21:52:15.576,b,14,pressed,313,0
2024-01-23 21:52:15.743,b,14,released,323,0
2024-01-23 21:52:16.543,i,15,pressed,371,0
2024-01-23 21:52:16.693,x,16,pressed,380,0
2024-01-23 21:52:16.742,i,15,released,383,0
2024-01-23 21:52:16.860,x,16,released,390,0
2024-01-23 21:52:16.959,h,17,pressed,396,0
2024-01-23 21:52:17.193,h,17,released,410,0
2024-01-23 21:52:17.376,w,18,pressed,421,0
2024-01-23 21:52:17.559,w,18,released,432,0
2024-01-23 21:52:18.059,p,19,pressed,462,0
2024-01-23 21:52:18.225,c,20,pressed,472,0
2024-01-23 21:52:18.276,p,19,released,475,0
2024-01-23 21:52:18.425,c,20,released,484,0
2024-01-23 21:52:18.675,y,21,pressed,499,0
2024-01-23 21:52:18.875,y,21,released,511,0
2024-01-23 21:52:19.009,t,22,pressed,519,0
2024-01-23 21:52:19.159,t,22,released,528,0
2024-01-23 21:52:19.392,j,23,pressed,542,0
2024-01-23 21:52:19.559,j,23,released,552,0
2024-01-23 21:52:19.575,z,24,pressed,553,0
2024-01-23 21:52:19.742,z,24,released,563,0
2024-01-23 21:52:19.992,e,25,pressed,578,0
2024-01-23 21:52:20.075,N/A,N/A,end,N/A,N/A
2024-01-23 21:52:25.174,N/A,N/A,start,N/A,N/A
2024-01-23 21:52:26.642,l,1,pressed,88,0
2024-01-23 21:52:26.741,f,2,pressed,94,0
2024-01-23 21:52:26.758,l,1,released,95,0
2024-01-23 21:52:26.924,f,2,released,105,0
2024-01-23 21:52:26.941,y,3,pressed,106,0
2024-01-23 21:52:27.091,y,3,released,115,0
2024-01-23 21:52:27.208,b,4,pressed,122,0
2024-01-23 21:52:27.408,b,4,released,134,0
2024-01-23 21:52:27.442,d,5,pressed,136,0
2024-01-23 21:52:27.574,k,6,pressed,144,0
2024-01-23 21:52:27.591,d,5,released,145,0
2024-01-23 21:52:27.758,k,6,released,155,0
2024-01-23 21:52:27.775,e,7,pressed,156,0
2024-01-23 21:52:27.975,e,7,released,168,0
2024-01-23 21:52:28.208,p,8,pressed,182,0
2024-01-23 21:52:28.357,q,9,pressed,191,0
2024-01-23 21:52:28.391,p,8,released,193,0
2024-01-23 21:52:28.558,q,9,released,203,0
2024-01-23 21:52:28.725,g,10,pressed,213,0
