Run Start Time,Total Time Taken (ms),Total Mistakes,Layout Difficulty,Mistake Chains
2024-01-23 22:12:59.141,9865.0,2.0,63.35280000000001,1
2024-01-23 22:13:14.156,11282.0,4.0,65.48642857142859,3
2024-01-23 22:13:30.387,8699.0,1.0,64.10208333333334,1
2024-01-23 22:13:43.835,11131.0,3.0,61.073846153846155,2
2024-01-23 22:13:59.916,9348.0,0.0,64.56304347826087,0
2024-01-23 22:14:14.247,9732.0,1.0,68.54304347826086,1
2024-01-23 22:14:28.879,9764.0,0.0,68.85434782608695,0
2024-01-23 22:14:43.810,9565.0,0.0,60.771739130434796,0
2024-01-23 22:14:58.258,9482.0,0.0,59.475,0
2024-01-23 22:15:12.523,10848.0,3.0,74.7176923076923,2
2024-01-23 22:15:28.188,9864.0,1.0,60.30625,1
2024-01-23 22:15:42.852,9849.0,0.0,64.12217391304348,0
2024-01-23 22:15:57.600,10966.0,3.0,50.88319999999999,3
2024-01-23 22:16:13.482,9949.0,0.0,66.85190476190476,0
2024-01-23 22:16:28.380,10049.0,2.0,64.0864,1
2024-01-23 22:16:43.244,10233.0,1.0,59.594999999999985,1
2024-01-23 22:16:58.909,10631.0,2.0,78.2888,1
2024-01-23 22:17:14.656,9416.0,0.0,63.97391304347825,0
2024-01-23 22:17:28.954,10399.0,0.0,75.07608695652173,0
2024-01-23 22:17:44.002,11016.0,3.0,61.04961538461537,3
2024-01-23 22:17:59.950,10315.0,0.0,71.33818181818181,0
2024-01-23 22:18:15.181,11449.0,2.0,74.62708333333333,2
2024-01-23 22:18:31.595,10083.0,0.0,75.80217391304346,0
2024-01-23 22:18:46.627,9931.0,3.0,55.458,2
2024-01-23 22:19:01.342,10998.0,5.0,74.45846153846153,5
2024-01-23 22:19:17.190,11032.0,3.0,58.190769230769234,2
2024-01-23 22:19:32.972,10748.0,5.0,61.710384615384626,3
2024-01-23 22:19:48.569,8448.0,0.0,73.02521739130434,0
2024-01-23 22:20:01.768,9398.0,0.0,64.87869565217392,0
2024-01-23 22:20:15.999,10348.0,3.0,57.598461538461535,3
2024-01-23 22:20:31.131,10581.0,1.0,64.9284,1
2024-01-23 22:20:46.812,11047.0,3.0,68.99851851851852,2
2024-01-23 22:21:02.958,9616.0,5.0,68.4996,3
2024-01-23 22:21:17.673,11082.0,0.0,62.37875,0
2024-01-23 22:21:33.770,8733.0,1.0,69.82695652173913,1
2024-01-23 22:21:47.986,10065.0,5.0,53.53655172413792,3
