Run Start Time,Total Time Taken (ms),Total Mistakes,Layout Difficulty
2023-12-28 10:38:03.652,14465.0,4.0,71.90521739130436
2023-12-28 10:38:22.816,15181.0,7.0,58.46083333333333
2023-12-28 10:38:43.064,13947.0,0.0,62.72782608695652
2023-12-28 10:39:02.043,12716.0,3.0,60.92478260869565
2023-12-28 10:39:20.157,10249.0,1.0,65.19125000000001
2023-12-28 10:39:35.472,14949.0,8.0,62.89519999999999
2023-12-28 10:39:55.187,11832.0,0.0,59.7613043478261
2023-12-28 10:40:12.085,15064.0,7.0,66.18920000000001
2023-12-28 10:40:32.215,11632.0,7.0,60.171739130434794
2023-12-28 10:40:48.596,10599.0,1.0,61.814347826086944
2023-12-28 10:41:04.278,15630.0,14.0,53.00159999999999
2023-12-28 10:41:25.575,13965.0,9.0,57.923333333333346
