Run Start Time,Run End Time,Total Time Taken (ms),Total Mistakes
2023-11-07 17:30:53.819,2023-11-07 17:31:16.565,22746.0,5.0
2023-11-07 17:31:21.697,2023-11-07 17:31:43.544,21847.0,1.0
2023-11-07 17:31:48.593,2023-11-07 17:32:10.157,21564.0,3.0
2023-11-07 17:32:15.273,2023-11-07 17:32:38.120,22847.0,5.0
2023-11-07 17:33:11.314,2023-11-07 17:33:34.712,23398.0,3.0
2023-11-07 17:33:39.561,2023-11-07 17:34:01.924,22363.0,4.0
2023-11-07 17:34:07.107,2023-11-07 17:34:29.171,22064.0,5.0
2023-11-07 17:34:34.287,2023-11-07 17:34:54.400,20113.0,2.0
