Run Start Time,Total Time Taken (ms),Total Mistakes,Layout Difficulty
2023-11-23 08:55:16.789,14314.0,2.0,65.955
2023-11-23 08:55:36.086,18997.0,3.0,61.62624999999998
2023-11-23 08:56:00.133,17033.0,5.0,54.89749999999999
2023-11-23 08:56:22.281,20463.0,6.0,63.22565217391303
2023-11-23 08:56:47.927,14815.0,6.0,55.699166666666656
2023-11-23 08:57:10.391,19146.0,4.0,65.37624999999998
2023-11-23 08:57:34.603,16032.0,8.0,61.77359999999999
2023-11-23 08:57:55.933,20814.0,6.0,63.42666666666668
2023-11-23 08:58:21.930,15298.0,2.0,69.12416666666668
2023-11-23 08:58:42.427,16332.0,7.0,63.33916666666667
2023-11-23 08:59:03.325,16413.0,6.0,57.20956521739131
2023-11-23 08:59:25.004,14798.0,2.0,64.46749999999999
2023-11-23 08:59:45.201,17315.0,5.0,66.94521739130434
2023-11-23 09:00:07.548,17116.0,4.0,65.59833333333333
2023-11-23 09:00:29.830,15798.0,4.0,66.6444
2023-11-23 09:00:50.810,14565.0,1.0,59.59043478260869
2023-11-23 09:01:10.674,20749.0,7.0,66.88269230769232
2023-11-23 09:01:36.639,15148.0,2.0,58.464999999999996
2023-11-23 09:01:57.153,15214.0,6.0,67.21791666666665
2023-11-23 09:02:17.931,19080.0,10.0,62.44541666666668
2023-11-23 09:02:42.078,17964.0,4.0,54.90541666666667
2023-11-23 09:03:05.224,15665.0,5.0,64.56333333333333
2023-11-23 09:03:26.055,13965.0,3.0,55.97559999999999
2023-11-23 09:03:45.569,15681.0,8.0,67.08826086956519
2023-11-23 09:04:06.366,14081.0,4.0,62.63916666666666
2023-11-23 09:04:25.796,15332.0,2.0,64.01625
2023-11-23 09:08:15.148,17249.0,8.0,65.96291666666667
2023-11-23 09:08:37.546,16715.0,6.0,60.843599999999995
2023-11-23 09:08:59.394,16197.0,4.0,48.06913043478259
2023-11-23 09:09:20.558,15249.0,7.0,66.25624999999998
2023-11-23 09:09:41.156,15797.0,6.0,79.18875
2023-11-23 09:10:01.570,16411.0,10.0,57.824166666666656
2023-11-23 09:10:23.014,15464.0,1.0,71.27916666666668
2023-11-23 09:10:43.094,14015.0,2.0,60.963599999999985
2023-11-23 09:11:02.126,16433.0,8.0,66.71833333333333
2023-11-23 09:11:23.408,15648.0,5.0,55.5704
2023-11-23 09:11:44.622,15214.0,3.0,64.95083333333334
2023-11-23 09:12:05.119,14647.0,3.0,71.58291666666666
2023-11-23 09:12:24.882,13048.0,2.0,64.40666666666667
2023-11-23 09:12:43.429,12549.0,2.0,60.19708333333333
2023-11-23 09:13:01.294,18278.0,6.0,58.43958333333333
2023-11-23 09:13:24.822,14115.0,4.0,62.651250000000005
2023-11-23 09:13:44.136,15264.0,7.0,66.57772727272726
2023-11-23 09:14:05.016,13616.0,3.0,60.154347826086955
2023-11-23 09:14:24.014,15448.0,5.0,68.50916666666664
2023-11-23 09:14:44.661,11399.0,2.0,61.779999999999994
2023-11-23 09:15:01.442,16715.0,4.0,63.10999999999999
2023-11-23 09:15:23.606,14665.0,4.0,59.09375
2023-11-23 09:15:43.570,13898.0,4.0,55.823043478260864
2023-11-23 09:16:02.785,15580.0,5.0,67.42666666666666
2023-11-23 09:16:23.848,14481.0,5.0,53.701153846153844
2023-11-23 09:16:43.395,13749.0,2.0,75.1725
2023-11-23 09:17:02.326,14381.0,10.0,77.21000000000001
2023-11-23 09:17:22.122,14249.0,10.0,76.9624
2023-11-23 09:17:42.153,12365.0,2.0,57.767083333333346
2023-11-23 09:18:00.151,13681.0,5.0,68.18375
2023-11-23 09:18:19.251,10881.0,2.0,69.44166666666668
2023-11-23 09:18:35.748,15899.0,4.0,50.25416666666667
2023-11-23 09:18:57.412,12298.0,3.0,71.42416666666666
2023-11-23 09:19:15.326,17030.0,8.0,69.79560000000001
2023-11-23 09:19:37.673,17880.0,12.0,67.75439999999999
2023-11-23 09:20:00.853,11598.0,4.0,71.69041666666668
2023-11-23 09:20:17.832,14932.0,8.0,73.9012
2023-11-23 09:20:38.229,16364.999999999998,5.0,61.01666666666666
2023-11-23 09:20:59.926,19866.0,12.0,62.27695652173912
2023-11-23 09:21:25.525,14598.0,7.0,55.866086956521755
2023-11-23 09:21:45.655,14148.0,6.0,56.111599999999996
2023-11-23 09:22:05.086,15446.0,5.0,64.52791666666667
2023-11-23 09:22:26.033,15247.0,7.0,68.70458333333333
