Datetime,Key,Number,Action,Time,Mistakes
2023-12-29 09:57:43.240,N/A,N/A,start,N/A,N/A
2023-12-29 09:57:44.189,y,1,pressed,57,0
2023-12-29 09:57:44.406,y,1,released,70,0
2023-12-29 09:57:44.589,v,2,pressed,81,0
2023-12-29 09:57:44.739,v,2,released,90,0
2023-12-29 09:57:45.105,p,3,pressed,112,0
2023-12-29 09:57:45.289,p,3,released,123,0
2023-12-29 09:57:45.906,e,4,pressed,160,0
2023-12-29 09:57:46.055,e,4,released,169,0
2023-12-29 09:57:46.489,o,11,pressed,195,0
2023-12-29 09:57:46.639,o,11,released,204,1
2023-12-29 09:57:47.589,i,5,pressed,261,1
2023-12-29 09:57:47.705,i,5,released,268,1
2023-12-29 09:57:47.722,a,6,pressed,269,1
2023-12-29 09:57:47.888,b,7,pressed,279,1
2023-12-29 09:57:47.905,a,6,released,280,1
2023-12-29 09:57:48.089,b,7,released,291,1
2023-12-29 09:57:48.122,g,8,pressed,293,1
2023-12-29 09:57:48.338,g,8,released,306,1
2023-12-29 09:57:48.438,k,9,pressed,312,1
2023-12-29 09:57:48.555,k,9,released,319,1
2023-12-29 09:57:48.739,l,10,pressed,330,1
2023-12-29 09:57:48.905,l,10,released,340,1
2023-12-29 09:57:49.005,o,11,pressed,346,1
2023-12-29 09:57:49.172,o,11,released,356,1
2023-12-29 09:57:49.771,z,12,pressed,392,1
2023-12-29 09:57:49.971,z,12,released,404,1
2023-12-29 09:57:49.988,k,9,pressed,405,1
2023-12-29 09:57:50.155,k,9,released,415,2
2023-12-29 09:57:50.438,j,13,pressed,432,2
2023-12-29 09:57:50.588,j,13,released,441,2
2023-12-29 09:57:50.705,u,14,pressed,448,2
2023-12-29 09:57:50.905,u,14,released,460,2
2023-12-29 09:57:51.388,t,15,pressed,489,2
2023-12-29 09:57:51.588,t,15,released,501,2
2023-12-29 09:57:51.738,m,16,pressed,510,2
2023-12-29 09:57:51.922,m,16,released,521,2
2023-12-29 09:57:52.322,d,17,pressed,545,2
2023-12-29 09:57:52.488,d,17,released,555,2
2023-12-29 09:57:52.738,c,18,pressed,570,2
2023-12-29 09:57:52.887,c,18,released,579,2
2023-12-29 09:57:52.954,f,19,pressed,583,2
2023-12-29 09:57:53.138,f,19,released,594,2
2023-12-29 09:57:53.637,w,20,pressed,624,2
2023-12-29 09:57:53.838,w,20,released,636,2
2023-12-29 09:57:54.054,h,21,pressed,649,2
2023-12-29 09:57:54.238,h,21,released,660,2
2023-12-29 09:57:55.154,t,15,pressed,715,2
2023-12-29 09:57:55.338,t,15,released,726,3
2023-12-29 09:57:55.487,r,22,pressed,735,3
2023-12-29 09:57:55.604,n,23,pressed,742,3
2023-12-29 09:57:55.671,r,22,released,746,3
2023-12-29 09:57:55.812,n,23,released,754,3
2023-12-29 09:57:55.970,q,24,released,764,3
2023-12-29 09:57:56.687,x,25,pressed,807,3
2023-12-29 09:57:56.787,N/A,N/A,end,N/A,N/A
2023-12-29 09:58:03.254,N/A,N/A,start,N/A,N/A
2023-12-29 09:58:04.237,o,1,pressed,59,0
2023-12-29 09:58:04.386,o,1,released,68,0
2023-12-29 09:58:04.853,j,2,pressed,96,0
2023-12-29 09:58:04.986,j,2,released,104,0
2023-12-29 09:58:05.502,o,1,pressed,135,0
2023-12-29 09:58:05.653,y,3,pressed,144,1
2023-12-29 09:58:05.670,o,1,released,145,1
2023-12-29 09:58:05.786,y,3,released,152,1
2023-12-29 09:58:06.736,q,4,pressed,209,1
2023-12-29 09:58:06.886,l,5,pressed,218,1
2023-12-29 09:58:06.986,q,4,released,224,1
2023-12-29 09:58:07.036,l,5,released,227,1
2023-12-29 09:58:07.252,i,6,pressed,240,1
2023-12-29 09:58:07.353,i,6,released,246,1
2023-12-29 09:58:07.869,x,7,pressed,277,1
2023-12-29 09:58:08.069,x,7,released,289,1
2023-12-29 09:58:08.202,y,3,pressed,297,1
2023-12-29 09:58:08.369,y,3,released,307,2
2023-12-29 09:58:08.685,u,8,pressed,326,2
2023-12-29 09:58:08.819,u,8,released,334,2
2023-12-29 09:58:08.953,m,9,pressed,342,2
2023-12-29 09:58:09.119,m,9,released,352,2
2023-12-29 09:58:09.135,z,10,pressed,353,2
2023-12-29 09:58:09.352,z,10,released,366,2
2023-12-29 09:58:09.385,v,15,pressed,368,2
2023-12-29 09:58:09.635,v,15,released,383,3
2023-12-29 09:58:10.002,c,11,pressed,405,3
2023-12-29 09:58:10.102,s,12,pressed,411,3
2023-12-29 09:58:10.169,c,11,released,415,3
2023-12-29 09:58:10.285,s,12,released,422,3
2023-12-29 09:58:10.669,w,13,pressed,445,3
2023-12-29 09:58:10.786,e,14,pressed,452,3
2023-12-29 09:58:10.802,w,13,released,453,3
2023-12-29 09:58:11.019,e,14,released,466,3
2023-12-29 09:58:11.802,v,15,pressed,513,3
2023-12-29 09:58:12.002,v,15,released,525,3
2023-12-29 09:58:12.051,b,16,pressed,528,3
2023-12-29 09:58:12.252,b,16,released,540,3
2023-12-29 09:58:12.402,a,17,pressed,549,3
2023-12-29 09:58:12.618,a,17,released,562,3
2023-12-29 09:58:12.768,d,18,pressed,571,3
2023-12-29 09:58:12.952,d,18,released,582,3
2023-12-29 09:58:13.102,f,19,pressed,591,3
2023-12-29 09:58:13.285,f,19,released,602,3
2023-12-29 09:58:13.551,n,20,pressed,618,3
2023-12-29 09:58:13.768,n,20,released,631,3
2023-12-29 09:58:13.985,g,21,pressed,644,3
2023-12-29 09:58:14.168,g,21,released,655,3
2023-12-29 09:58:14.418,r,22,pressed,670,3
2023-12-29 09:58:14.635,r,22,released,683,3
2023-12-29 09:58:14.669,p,23,pressed,685,3
2023-12-29 09:58:14.868,p,23,released,697,3
2023-12-29 09:58:15.002,g,21,pressed,705,3
2023-12-29 09:58:15.202,g,21,released,717,4
2023-12-29 09:58:15.384,h,24,pressed,728,4
2023-12-29 09:58:15.536,k,25,pressed,737,4
2023-12-29 09:58:15.568,h,24,released,739,4
2023-12-29 09:58:15.685,k,25,released,746,4
2023-12-29 09:58:15.751,N/A,N/A,end,N/A,N/A
2023-12-29 09:58:22.134,N/A,N/A,start,N/A,N/A
2023-12-29 09:58:22.966,l,1,pressed,50,0
2023-12-29 09:58:23.067,l,1,released,56,0
2023-12-29 09:58:23.883,c,2,pressed,105,0
2023-12-29 09:58:24.050,c,2,released,115,0
2023-12-29 09:58:24.250,u,3,pressed,127,0
2023-12-29 09:58:24.367,u,3,released,134,0
2023-12-29 09:58:24.683,p,4,pressed,153,0
2023-12-29 09:58:24.849,p,4,released,163,0
2023-12-29 09:58:24.916,i,5,pressed,167,0
2023-12-29 09:58:25.099,i,5,released,178,0
2023-12-29 09:58:25.217,k,6,pressed,185,0
2023-12-29 09:58:25.400,k,6,released,196,0
2023-12-29 09:58:25.700,n,7,pressed,214,0
2023-12-29 09:58:25.883,n,7,released,225,0
2023-12-29 09:58:25.983,h,8,pressed,231,0
2023-12-29 09:58:26.200,h,8,released,244,0
2023-12-29 09:58:26.266,z,9,pressed,248,0
2023-12-29 09:58:26.433,z,9,released,258,0
2023-12-29 09:58:26.566,s,10,pressed,266,0
2023-12-29 09:58:26.767,s,10,released,278,0
2023-12-29 09:58:27.099,x,11,pressed,298,0
2023-12-29 09:58:27.282,x,11,released,309,0
2023-12-29 09:58:27.733,t,12,pressed,336,0
2023-12-29 09:58:27.916,t,12,released,347,0
2023-12-29 09:58:28.016,y,13,pressed,353,0
2023-12-29 09:58:28.233,y,13,released,366,0
2023-12-29 09:58:28.299,w,14,pressed,370,0
2023-12-29 09:58:28.483,w,14,released,381,0
2023-12-29 09:58:29.083,q,15,pressed,417,0
2023-12-29 09:58:29.266,q,15,released,428,0
2023-12-29 09:58:29.432,d,16,pressed,438,0
2023-12-29 09:58:29.582,d,16,released,447,0
2023-12-29 09:58:29.765,v,17,pressed,458,0
2023-12-29 09:58:29.999,v,17,released,472,0
2023-12-29 09:58:30.782,e,18,pressed,519,0
2023-12-29 09:58:30.949,e,18,released,529,0
2023-12-29 09:58:31.082,j,19,pressed,537,0
2023-12-29 09:58:31.315,j,19,released,551,0
2023-12-29 09:58:31.433,o,20,pressed,558,0
2023-12-29 09:58:31.615,o,20,released,569,0
2023-12-29 09:58:31.750,h,8,pressed,577,0
2023-12-29 09:58:31.883,h,8,released,585,1
2023-12-29 09:58:32.215,g,21,pressed,605,1
2023-12-29 09:58:32.432,m,22,pressed,618,1
2023-12-29 09:58:32.449,g,21,released,619,1
2023-12-29 09:58:32.615,m,22,released,629,1
2023-12-29 09:58:32.848,b,23,pressed,643,1
2023-12-29 09:58:33.082,b,23,released,657,1
2023-12-29 09:58:33.265,r,24,pressed,668,1
2023-12-29 09:58:33.465,r,24,released,680,1
2023-12-29 09:58:33.532,f,25,pressed,684,1
2023-12-29 09:58:33.698,f,25,released,694,1
2023-12-29 09:58:33.765,N/A,N/A,end,N/A,N/A
2023-12-29 09:58:38.764,N/A,N/A,start,N/A,N/A
2023-12-29 09:58:39.815,i,1,pressed,63,0
2023-12-29 09:58:39.931,i,1,released,70,0
2023-12-29 09:58:40.331,s,21,pressed,94,0
2023-12-29 09:58:40.465,s,21,released,102,1
2023-12-29 09:58:40.731,d,2,pressed,118,1
2023-12-29 09:58:40.897,d,2,released,128,1
2023-12-29 09:58:40.915,v,3,pressed,129,1
2023-12-29 09:58:41.097,v,3,released,140,1
2023-12-29 09:58:41.231,c,4,pressed,148,1
2023-12-29 09:58:41.414,c,4,released,159,1
2023-12-29 09:58:41.531,n,5,pressed,166,1
2023-12-29 09:58:41.731,n,5,released,178,1
2023-12-29 09:58:41.881,o,6,pressed,187,1
2023-12-29 09:58:42.065,o,6,released,198,1
2023-12-29 09:58:42.715,w,7,pressed,237,1
2023-12-29 09:58:42.831,w,7,released,244,1
2023-12-29 09:58:43.014,d,2,pressed,255,1
2023-12-29 09:58:43.164,d,2,released,264,2
2023-12-29 09:58:43.547,f,8,pressed,287,2
2023-12-29 09:58:43.681,f,8,released,295,2
2023-12-29 09:58:43.715,l,9,pressed,297,2
2023-12-29 09:58:43.897,l,9,released,308,2
2023-12-29 09:58:44.447,p,10,pressed,341,2
2023-12-29 09:58:44.597,p,10,released,350,2
2023-12-29 09:58:45.047,b,11,pressed,377,2
2023-12-29 09:58:45.198,b,11,released,386,2
2023-12-29 09:58:45.447,y,12,pressed,401,2
2023-12-29 09:58:45.614,y,12,released,411,2
2023-12-29 09:58:47.030,e,13,pressed,496,2
2023-12-29 09:58:47.196,e,13,released,506,2
2023-12-29 09:58:47.280,a,14,pressed,511,2
2023-12-29 09:58:47.463,a,14,released,522,2
2023-12-29 09:58:47.564,t,15,pressed,528,2
2023-12-29 09:58:47.763,t,15,released,540,2
2023-12-29 09:58:48.964,x,16,pressed,612,2
2023-12-29 09:58:49.096,x,16,released,620,2
2023-12-29 09:58:49.180,h,17,pressed,625,2
2023-12-29 09:58:49.380,h,17,released,637,2
2023-12-29 09:58:49.764,r,18,pressed,660,2
2023-12-29 09:58:49.979,r,18,released,673,2
2023-12-29 09:58:50.013,g,19,pressed,675,2
2023-12-29 09:58:50.230,g,19,released,688,2
2023-12-29 09:58:50.379,u,20,pressed,697,2
2023-12-29 09:58:50.596,u,20,released,710,2
2023-12-29 09:58:51.130,d,2,pressed,742,2
2023-12-29 09:58:51.196,d,2,released,746,3
2023-12-29 09:58:51.497,s,21,pressed,764,3
2023-12-29 09:58:51.613,s,21,released,771,3
2023-12-29 09:58:51.779,q,22,pressed,781,3
2023-12-29 09:58:51.963,q,22,released,792,3
2023-12-29 09:58:52.162,m,23,pressed,804,3
2023-12-29 09:58:52.380,m,23,released,817,3
2023-12-29 09:58:52.496,j,24,pressed,824,3
2023-12-29 09:58:52.729,j,24,released,838,3
2023-12-29 09:58:52.796,z,25,pressed,842,3
2023-12-29 09:58:52.896,N/A,N/A,end,N/A,N/A
2023-12-29 09:58:57.879,N/A,N/A,start,N/A,N/A
2023-12-29 09:58:58.579,d,1,pressed,42,0
2023-12-29 09:58:58.695,d,1,released,49,0
2023-12-29 09:58:58.745,a,2,pressed,52,0
2023-12-29 09:58:58.979,a,2,released,66,0
2023-12-29 09:58:59.195,h,3,pressed,79,0
2023-12-29 09:58:59.379,h,3,released,90,0
2023-12-29 09:58:59.428,b,4,pressed,93,0
2023-12-29 09:58:59.629,b,4,released,105,0
2023-12-29 09:58:59.712,q,5,pressed,110,0
2023-12-29 09:58:59.895,q,5,released,121,0
2023-12-29 09:59:00.528,o,6,pressed,159,0
2023-12-29 09:59:00.678,o,6,released,168,0
2023-12-29 09:59:00.779,z,7,pressed,174,0
2023-12-29 09:59:00.978,z,7,released,186,0
2023-12-29 09:59:00.995,m,8,pressed,187,0
2023-12-29 09:59:01.128,m,8,released,195,0
2023-12-29 09:59:01.262,j,9,pressed,203,0
2023-12-29 09:59:01.428,j,9,released,213,0
2023-12-29 09:59:01.461,n,10,pressed,215,0
2023-12-29 09:59:01.645,n,10,released,226,0
2023-12-29 09:59:02.495,c,11,pressed,277,0
2023-12-29 09:59:02.678,c,11,released,288,0
2023-12-29 09:59:02.761,f,12,pressed,293,0
2023-12-29 09:59:02.944,f,12,released,304,0
2023-12-29 09:59:03.394,l,13,pressed,331,0
2023-12-29 09:59:03.578,l,13,released,342,0
2023-12-29 09:59:03.729,p,14,pressed,351,0
2023-12-29 09:59:03.911,p,14,released,362,0
2023-12-29 09:59:03.961,s,15,pressed,365,0
2023-12-29 09:59:04.128,s,15,released,375,0
2023-12-29 09:59:05.077,t,16,pressed,432,0
2023-12-29 09:59:05.261,t,16,released,443,0
2023-12-29 09:59:05.811,k,17,pressed,476,0
2023-12-29 09:59:05.944,k,17,released,484,0
2023-12-29 09:59:06.428,v,18,pressed,513,0
2023-12-29 09:59:06.678,v,18,released,528,0
2023-12-29 09:59:06.761,i,19,pressed,533,0
2023-12-29 09:59:06.944,i,19,released,544,0
2023-12-29 09:59:07.261,y,20,pressed,563,0
2023-12-29 09:59:07.461,y,20,released,575,0
2023-12-29 09:59:07.611,g,21,pressed,584,0
2023-12-29 09:59:07.811,g,21,released,596,0
2023-12-29 09:59:08.244,w,22,pressed,622,0
2023-12-29 09:59:08.444,e,23,pressed,634,0
2023-12-29 09:59:08.677,e,23,released,648,0
2023-12-29 09:59:09.094,u,24,pressed,673,0
2023-12-29 09:59:09.277,u,24,released,684,0
2023-12-29 09:59:09.478,x,25,pressed,696,0
2023-12-29 09:59:09.628,x,25,released,705,0
2023-12-29 09:59:09.894,N/A,N/A,end,N/A,N/A
2023-12-29 09:59:14.943,N/A,N/A,start,N/A,N/A
2023-12-29 09:59:16.076,j,1,pressed,68,0
2023-12-29 09:59:16.194,j,1,released,75,0
