Datetime,Key,Number,Action,Time,Mistakes
2024-01-13 14:49:59.685,N/A,N/A,start,N/A,N/A
2024-01-13 14:50:00.935,p,1,pressed,75,0
2024-01-13 14:50:01.085,a,2,pressed,84,0
2024-01-13 14:50:01.118,p,1,released,86,0
2024-01-13 14:50:01.218,a,2,released,92,0
2024-01-13 14:50:01.318,m,3,pressed,98,0
2024-01-13 14:50:01.501,m,3,released,109,0
2024-01-13 14:50:01.668,x,4,released,119,0
2024-01-13 14:50:01.751,g,5,pressed,124,0
2024-01-13 14:50:01.934,g,5,released,135,0
2024-01-13 14:50:02.401,k,6,pressed,163,0
2024-01-13 14:50:02.551,k,6,released,172,0
2024-01-13 14:50:02.768,f,7,pressed,185,0
2024-01-13 14:50:02.901,l,8,pressed,193,0
2024-01-13 14:50:02.918,f,7,released,194,0
2024-01-13 14:50:03.134,l,8,released,207,0
2024-01-13 14:50:03.384,r,9,pressed,222,0
2024-01-13 14:50:03.551,r,9,released,232,0
2024-01-13 14:50:03.835,h,10,pressed,249,0
2024-01-13 14:50:04.034,h,10,released,261,0
2024-01-13 14:50:04.517,d,11,pressed,290,0
2024-01-13 14:50:04.667,d,11,released,299,0
2024-01-13 14:50:05.234,n,12,pressed,333,0
2024-01-13 14:50:05.334,n,12,released,339,0
2024-01-13 14:50:05.651,j,13,pressed,358,0
2024-01-13 14:50:05.817,j,13,released,368,0
2024-01-13 14:50:05.900,b,14,pressed,373,0
2024-01-13 14:50:06.017,b,14,released,380,0
2024-01-13 14:50:06.367,z,16,pressed,401,0
2024-01-13 14:50:06.500,z,16,released,409,1
2024-01-13 14:50:06.767,q,15,pressed,425,1
2024-01-13 14:50:06.901,q,15,released,433,1
2024-01-13 14:50:07.084,z,16,pressed,444,1
2024-01-13 14:50:07.251,z,16,released,454,1
2024-01-13 14:50:08.001,p,1,pressed,499,1
2024-01-13 14:50:08.201,p,1,released,511,2
2024-01-13 14:50:08.333,w,18,pressed,519,2
2024-01-13 14:50:08.517,w,18,released,530,3
2024-01-13 14:50:08.734,o,17,pressed,543,3
2024-01-13 14:50:08.850,w,18,pressed,550,3
2024-01-13 14:50:08.917,o,17,released,554,3
2024-01-13 14:50:09.016,w,18,released,560,3
2024-01-13 14:50:09.117,u,19,pressed,566,3
2024-01-13 14:50:09.317,u,19,released,578,3
2024-01-13 14:50:10.083,c,20,pressed,624,3
2024-01-13 14:50:10.216,c,20,released,632,3
2024-01-13 14:50:10.383,t,21,pressed,642,3
2024-01-13 14:50:10.550,t,21,released,652,3
2024-01-13 14:50:10.666,s,22,pressed,659,3
2024-01-13 14:50:10.766,y,23,pressed,665,3
2024-01-13 14:50:10.867,s,22,released,671,3
2024-01-13 14:50:10.967,y,23,released,677,3
2024-01-13 14:50:11.016,v,24,pressed,680,3
2024-01-13 14:50:11.250,v,24,released,694,3
2024-01-13 14:50:11.317,i,25,pressed,698,3
2024-01-13 14:50:11.433,N/A,N/A,end,N/A,N/A
2024-01-13 14:50:20.482,N/A,N/A,start,N/A,N/A
2024-01-13 14:50:21.231,t,3,pressed,44,0
2024-01-13 14:50:21.382,t,3,released,53,1
2024-01-13 14:50:21.665,r,1,pressed,70,1
2024-01-13 14:50:21.799,r,1,released,78,1
2024-01-13 14:50:21.916,z,2,pressed,85,1
2024-01-13 14:50:22.082,z,2,released,95,1
2024-01-13 14:50:22.198,t,3,pressed,102,1
2024-01-13 14:50:22.382,t,3,released,113,1
2024-01-13 14:50:22.565,o,4,pressed,124,1
2024-01-13 14:50:22.781,o,4,released,137,1
2024-01-13 14:50:23.049,e,5,pressed,153,1
2024-01-13 14:50:23.215,e,5,released,163,1
2024-01-13 14:50:23.614,k,6,pressed,187,1
2024-01-13 14:50:23.765,k,6,released,196,1
2024-01-13 14:50:23.799,d,7,pressed,198,1
2024-01-13 14:50:23.931,d,7,released,206,1
